name,position,team,number_of_games,value
Daniel,Goleiro,Internacional,23,25
Fernando Miguel,Goleiro,Atlético-GO,33,24
Tiago Volpi,Goleiro,São Paulo,33,24
Matheus Cavichioli,Goleiro,América-MG,31,22
Cleiton,Goleiro,Bragantino,30,21
Matheus Teixeira,Goleiro,Bahia,16,19
João Paulo,Goleiro,Santos,29,18
Marcos Felipe,Goleiro,Fluminense,32,16
Cássio,Goleiro,Corinthians,33,16
João Paulo,Goleiro,Chapecoense,16,15
Keiller,Goleiro,Chapecoense,16,15
Richard,Goleiro,Ceará,22,13
Diego Alves,Goleiro,Flamengo,25,13
Everson,Goleiro,Atlético-MG,34,12
Marcelo Carné,Goleiro,Juventude,21,11
