name,position,team,number_of_games,value
Marinho,Atacante,Santos,24,67
Hayner,Lateral Direito,Nome da equipe,23,63
Janderson,Atacante,Atlético-GO,30,59
Éderson,Volante,Fortaleza,31,58
Hulk,Atacante,Atlético-MG,32,56
André Luís,Atacante,Atlético-GO,28,55
Clayson,Atacante,Cuiabá,29,53
Ademir,Atacante,América-MG,27,48
Pepê,Meia Central,Cuiabá,30,48
Marcos Vinicios,Atacante,Juventude,32,46
Patrick,Volante,Internacional,30,45
Rossi,Atacante,Bahia,20,44
Lima,Meia Central,Ceará,29,44
Guilherme Castilho,Volante,Juventude,29,43
Bruno Henrique,Atacante,Flamengo,22,40
