name,position,team,number_of_games,value
Gilberto,Atacante,Bahia,31,24
Éderson,Volante,Fortaleza,31,23
Hulk,Atacante,Atlético-MG,32,23
Marinho,Atacante,Santos,24,22
Ferreira,Atacante,Grêmio,25,22
Artur,Atacante,Bragantino,26,22
Lucas Crispim,Meia Central,Fortaleza,24,21
Terans,Meia Central,Athletico-PR,26,20
Raphael Veiga,Meia Central,Palmeiras,31,20
Rigoni,Atacante,Nome da equipe,25,19
Lima,Meia Central,Ceará,29,19
Gustavo Scarpa,Meia Central,Palmeiras,31,19
Jean Mota,Meia Central,Santos,23,18
Ademir,Atacante,América-MG,27,18
Robson,Atacante,Fortaleza,31,18
