name,position,team,number_of_games,goals_conceded
Matheus Teixeira,Goleiro,Bahia,16,28
João Paulo,Goleiro,Santos,29,27
Tiago Volpi,Goleiro,São Paulo,33,26
Marcos Felipe,Goleiro,Fluminense,32,24
Marcelo Carné,Goleiro,Juventude,21,23
Cássio,Goleiro,Corinthians,33,23
Matheus Cavichioli,Goleiro,América-MG,31,22
João Paulo,Goleiro,Chapecoense,16,21
Santos,Goleiro,Athletico-PR,25,21
Cleiton,Goleiro,Bragantino,30,21
Fernando Miguel,Goleiro,Atlético-GO,33,21
Maílson,Goleiro,Sport,34,21
Walter,Goleiro,Cuiabá,30,19
Felipe Alves,Goleiro,Fortaleza,20,18
Diego Alves,Goleiro,Flamengo,25,18
