name,position,team,number_of_games,goals_inside_the_area
Ytalo,Atacante,Bragantino,26,6
Yuri Alberto,Atacante,Internacional,30,5
Hulk,Atacante,Atlético-MG,32,5
Gabriel,Atacante,Flamengo,16,4
Savarino,Atacante,Atlético-MG,16,4
Bruno Henrique,Atacante,Flamengo,22,4
Pedro,Atacante,Flamengo,22,4
Terans,Meia Central,Athletico-PR,26,4
Jenison,Atacante,Cuiabá,27,4
David,Atacante,Fortaleza,28,4
Yago Pikachu,Meia Central,Fortaleza,30,4
Robson,Atacante,Fortaleza,31,4
Marcos Guilherme,Atacante,Internacional,32,4
Rodrigo Muniz,Atacante,Nome da equipe,9,3
Willian,Atacante,Palmeiras,20,3
