name,position,team,number_of_games,value
Edenílson,Volante,Internacional,29,6
Matheus Peixoto,Atacante,Juventude,12,2
Vargas,Atacante,Atlético-MG,13,2
Borja,Atacante,Nome da equipe,14,2
Gabriel,Atacante,Flamengo,16,2
Anselmo Ramon,Atacante,Chapecoense,24,2
Carlos Sánchez,Meia Central,Santos,26,2
Reinaldo,Lateral Esquerda,São Paulo,26,2
Fábio Santos,Lateral Esquerda,Corinthians,30,2
Hulk,Atacante,Atlético-MG,32,2
Pinares,Meia Central,Grêmio,2,1
Calleri,Atacante,Nome da equipe,11,1
Thiago Neves,Meia Central,Sport,14,1
Pablo,Atacante,São Paulo,15,1
Ravanelli,Meia Central,Chapecoense,15,1
