name,position,team,number_of_games,value
Nathan Silva,Volante,Atlético-MG,30,2
Iago Maidana,Zagueiro Direito,Sport,4,1
Zé Gabriel,Volante,Internacional,8,1
Manoel,Zagueiro Direito,Fluminense,9,1
Quintero,Zagueiro Direito,Fortaleza,11,1
Wellington,Lateral Esquerda,São Paulo,14,1
Gabriel Dias,Lateral Direito,Ceará,16,1
Lucca,Atacante,Fluminense,20,1
Felipe,Volante,Fortaleza,26,1
Zé Ivaldo,Zagueiro Direito,Athletico-PR,27,1
William Matheus,Lateral Esquerda,Nome da equipe,29,1
Titi,Zagueiro Esquerdo,Fortaleza,30,1
Éder,Zagueiro Direito,Atlético-GO,30,1
