name,position,team,number_of_games,value
Tinga,Lateral Direito,Fortaleza,32,267
Matheus Ribeiro,Lateral Direito,Chapecoense,32,266
Reinaldo,Lateral Esquerda,São Paulo,26,233
Fagner,Lateral Direito,Corinthians,32,231
Egídio,Lateral Esquerda,Fluminense,15,230
Tiago Volpi,Goleiro,São Paulo,33,230
Daniel,Goleiro,Internacional,23,228
Jean Mota,Meia Central,Santos,23,227
Rossi,Atacante,Bahia,20,220
Felipe Jonatan,Lateral Esquerda,Santos,31,212
Nino Paraíba,Lateral Direito,Bahia,27,208
Gustavo Scarpa,Meia Central,Palmeiras,31,200
João Lucas,Lateral Direito,Cuiabá,31,199
Marcos Felipe,Goleiro,Fluminense,32,199
Cleiton,Goleiro,Bragantino,30,191
