name,position,team,number_of_games,value
Fernando Sobral,Meia Central,Ceará,32,84
Éderson,Volante,Fortaleza,31,73
Fagner,Lateral Direito,Corinthians,32,72
João Lucas,Lateral Direito,Cuiabá,31,70
Gabriel,Volante,Corinthians,28,66
Patrick,Volante,Internacional,30,62
Matheus Ribeiro,Lateral Direito,Chapecoense,32,61
Anderson Leite,Volante,Chapecoense,24,60
Pepê,Meia Central,Cuiabá,30,59
Rodrigo Dourado,Volante,Internacional,26,58
Zaracho,Meia Central,Atlético-MG,29,54
Willian Maranhão,Volante,Atlético-GO,30,53
Aderlan,Lateral Direito,Bragantino,25,52
Liziero,Volante,São Paulo,27,52
Juninho,Volante,América-MG,33,52
